web-scraper-order,web-scraper-start-url,indice,Title,Release Date,Pages
"1653553987-378","https://listfist.com/list-of-one-piece-manga-chapters","378","Damage Report","August 22, 2005","19"
"1653553987-309","https://listfist.com/list-of-one-piece-manga-chapters","309","Groggy Monsters","February 9, 2004","19"
"1653553987-844","https://listfist.com/list-of-one-piece-manga-chapters","844","Luffy vs. Sanji","October 31, 2016","17"
"1653553987-10","https://listfist.com/list-of-one-piece-manga-chapters","10","The Incident at the Bar","September 29, 1997","23"
"1653553987-976","https://listfist.com/list-of-one-piece-manga-chapters","976","Allow Me to Introduce Myself!!!","April 6, 2020","19"
"1653553987-611","https://listfist.com/list-of-one-piece-manga-chapters","611","Hody Jones","January 24, 2011","17"
"1653553987-187","https://listfist.com/list-of-one-piece-manga-chapters","187","Even Match","June 18, 2001","19"
"1653553987-729","https://listfist.com/list-of-one-piece-manga-chapters","729","Shichibukai Doflamingo vs. Shichibukai Law","November 25, 2013","17"
"1653553987-178","https://listfist.com/list-of-one-piece-manga-chapters","178","Level G.L.","April 9, 2001","19"
"1653553987-268","https://listfist.com/list-of-one-piece-manga-chapters","268","Suite","March 10, 2003","19"
"1653553987-3","https://listfist.com/list-of-one-piece-manga-chapters","3","Introducing ""Pirate Hunter Zoro""","August 4, 1997","21"
"1653553987-498","https://listfist.com/list-of-one-piece-manga-chapters","498","The 11 Supernovas","April 28, 2008","19"
"1653553987-182","https://listfist.com/list-of-one-piece-manga-chapters","182","Roar","May 14, 2001","19"
"1653553987-680","https://listfist.com/list-of-one-piece-manga-chapters","680","Marine G-5 Base Leader: Demon Bamboo Vergo","September 10, 2012","19"
"1653553987-905","https://listfist.com/list-of-one-piece-manga-chapters","905","A Beautiful World","May 28, 2018","17"
"1653553987-160","https://listfist.com/list-of-one-piece-manga-chapters","160","Spiders Cafe, 8 o'clock","November 13, 2000","19"
"1653553987-323","https://listfist.com/list-of-one-piece-manga-chapters","323","The Water Metropolis, Water 7","May 31, 2004","19"
"1653553987-476","https://listfist.com/list-of-one-piece-manga-chapters","476","Nightmare Luffy","October 29, 2007","19"
"1653553987-373","https://listfist.com/list-of-one-piece-manga-chapters","373","Necessary Evil","July 4, 2005","19"
"1653553987-788","https://listfist.com/list-of-one-piece-manga-chapters","788","My Fight","June 1, 2015","17"
"1653553987-458","https://listfist.com/list-of-one-piece-manga-chapters","458","Not the Afro","June 4, 2007","19"
"1653553987-574","https://listfist.com/list-of-one-piece-manga-chapters","574","Portgas D. Ace Dies","February 15, 2010","17"
"1653553987-739","https://listfist.com/list-of-one-piece-manga-chapters","739","Commander","March 3, 2014","19"
"1653553987-390","https://listfist.com/list-of-one-piece-manga-chapters","390","Return Fire","November 21, 2005","19"
"1653553987-926","https://listfist.com/list-of-one-piece-manga-chapters","926","The Prisoner Mine","December 3, 2018","17"
"1653553987-804","https://listfist.com/list-of-one-piece-manga-chapters","804","Adventure in the Country on the Back of an Elephant","October 26, 2015","17"
"1653553987-943","https://listfist.com/list-of-one-piece-manga-chapters","943","SMILE","May 27, 2019","17"
"1653553987-421","https://listfist.com/list-of-one-piece-manga-chapters","421","Gear Third","July 31, 2006","19"
"1653553987-17","https://listfist.com/list-of-one-piece-manga-chapters","17","Character","November 17, 1997","20"
"1653553987-993","https://listfist.com/list-of-one-piece-manga-chapters","993","The Dream of Wano Country","October 26, 2020","17"
"1653553987-90","https://listfist.com/list-of-one-piece-manga-chapters","90","What Can You Do?","May 31, 1999","19"
"1653553987-275","https://listfist.com/list-of-one-piece-manga-chapters","275","Divina Commedia","May 12, 2003","19"
"1653553987-436","https://listfist.com/list-of-one-piece-manga-chapters","436","Pants from Frankyhouse","December 4, 2006","19"
"1653553987-764","https://listfist.com/list-of-one-piece-manga-chapters","764","White Monster","October 20, 2014","19"
